"rk",tier,"name",team,"pos","bye","sos","vs"
"319",13,"Jermaine Burton",CIN,"WR110","10","3 out of 5 stars","-51"
"320",13,"Tyler Higbee",LAR,"TE41","8","4 out of 5 stars","-89"
"321",13,"Zamir White",LV,"RB98","8","2 out of 5 stars","-"
"322",13,"Gus Edwards",FA,"RB99","-","-","-"
"323",14,"Tyler Conklin",LAC,"TE42","12","3 out of 5 stars","-93"
"324",14,"Phil Mafah",DAL,"RB100","10","2 out of 5 stars","-26"
"325",14,"Isaac TeSlaa",DET,"WR111","8","3 out of 5 stars","-93"
"326",14,"Tai Felton",MIN,"WR112","6","2 out of 5 stars","-54"
"327",14,"Justin Tucker",FA,"K18","-","-","-"
"328",14,"Jordan Whittington",LAR,"WR113","8","3 out of 5 stars","-69"
"329",14,"Ray-Ray McCloud III",ATL,"WR114","5","3 out of 5 stars","-109"
"330",14,"Tyler Loop",BAL,"K19","7","2 out of 5 stars","-"
"331",14,"Jalen Milroe",SEA,"QB36","8","4 out of 5 stars","-87"
"332",14,"Arizona Cardinals",ARI,"DST21","8","4 out of 5 stars","-"
"333",14,"Tutu Atwell",LAR,"WR115","8","3 out of 5 stars","-127"
"334",14,"Isaiah Bond",FA,"WR116","-","-","+6"
"335",14,"Donovan Edwards",NYJ,"RB101","9","5 out of 5 stars","-"
"336",14,"Will Reichard",MIN,"K20","6","0 out of 5 stars","-"
"337",14,"New England Patriots",NE,"DST22","14","4 out of 5 stars","-"
"338",14,"Demarcus Robinson",SF,"WR117","14","4 out of 5 stars","-83"
"339",14,"Tank Dell",HOU,"WR118","6","4 out of 5 stars","-38"
"340",14,"Cam Akers",NO,"RB102","11","4 out of 5 stars","-40"
"341",14,"Troy Franklin",DEN,"WR119","12","3 out of 5 stars","-94"
"342",14,"Samaje Perine",CIN,"RB103","10","4 out of 5 stars","-11"
"343",14,"Dawson Knox",BUF,"TE43","7","3 out of 5 stars","-40"
"344",14,"Savion Williams",GB,"WR120","5","2 out of 5 stars","-80"
"345",14,"New York Giants",NYG,"DST23","14","1 out of 5 stars","-"
"346",14,"Michael Mayer",LV,"TE44","8","2 out of 5 stars","-75"
"347",14,"Dont'e Thornton Jr.",LV,"WR121","8","4 out of 5 stars","-149"
"348",14,"Jacory Croskey-Merritt",WAS,"RB104","12","2 out of 5 stars","-109"
"349",14,"Jake Moody",SF,"K21","14","5 out of 5 stars","-"
"350",14,"Kirk Cousins",ATL,"QB37","5","4 out of 5 stars","-96"
"351",14,"Marquez Valdes-Scantling",SEA,"WR122","8","3 out of 5 stars","-95"
"352",14,"Luke Musgrave",GB,"TE45","5","2 out of 5 stars","-43"
"353",14,"A.J. Dillon",PHI,"RB105","9","3 out of 5 stars","-65"
"354",14,"Will Levis",TEN,"QB38","10","2 out of 5 stars","+12"
